id,name,type,created_at
04795061-db7c-4dc7-848a-f622f281f862,Bachelor of Secondary Education - Mathematics,academic,
0527c56e-d724-42e0-9690-bc6f64d70b98,BS in Agriculture - Animal Science,academic,
064277b1-bfc8-4e6c-91cd-0046447131fd,BS in Accountancy,academic,
0d38c956-e6b4-41ab-999d-90e463f23e5a,BS in Business Administration - Business Economics,academic,
19eeca54-0f7b-4469-ab9e-746acea4027e,BS in Civil Enginerring,Academic,2026-01-02 12:22:02.419337+00
1cb016b0-492d-4820-84cb-bf5b0fb3e035,BS in Nursing,academic,
1f3624b2-3020-4bea-9c89-43b26b1be418,BS in Information Technology,academic,
2270b61e-c898-4a68-98af-23a623336768,BA in Political Science,academic,
27a2b191-9761-4e10-afe6-753790d1b678,BS in Agriculture,Academic,2026-01-28 04:14:15.342339+00
2f3b2cff-3b9c-428c-8054-c429b9b455e7,Diploma in Midwifery,academic,
36bce0ba-4727-4c9a-b173-c185c75f1c19,BS in Entrepreneurship,academic,
38eeac1e-be11-4876-b0b4-f7231162e475,BS in Nutrition and Dietetics,academic,
404b502e-fec1-4ed4-882c-c89d55805529,Bachelor of Secondary Education - Social Studies,academic,
40b2285f-02ef-4c05-bbfc-e2a9b84f0e4f,BS in Biology,academic,
4366a64c-343d-4411-bcfb-0a8d87d64e6b,BS in Hospitality Management,academic,
49a4b3d3-7a56-444e-87c4-95f460a6fdf7,BS in Accounting Information System,academic,
4e320a99-f13a-4e37-8cd9-54bc034f9422,Bachelor of Secondary Education - Science,academic,
58189b06-2bb0-432c-a5a5-99b373f21b96,BS in Business Administration - Human Resource Management,academic,
59318980-ed50-4414-b3ac-c5f0ec273797,BS in Fisheries,academic,
627fe802-00ea-4823-bb1e-820d714d15e1,BS in Business Administration - Financial Management,academic,
69ec04f8-c9fd-49e1-ae32-dd222508b856,BS in Social Work,academic,
7849cd9c-8d48-465c-87e8-7817a4e11d58,BS in Computer Science,academic,
85fdc938-eb48-4fca-975e-7098ee92e4dc,BS in Agriculture - Crop Science,Academic,2026-01-26 03:37:26.290885+00
9474d7af-fc63-434d-9e49-7976ca2b55fd,Bachelor of Secondary Education - English,academic,
97cf0db3-56cb-4851-8c0a-aed666a0995d,BS in Industrial Technology - Drafting Technology,academic,
9913720a-dde8-413c-9758-bf25f5166fb6,BS in Business Administration - Marketing Management,academic,
9d6df39c-d44a-4f45-8c65-fa951472357e,"BS in Industrial Technology - Automotive Technology ",academic,
a2c3219d-ce13-4499-bfc3-5a06e65875e8,BS in Entertainment & Multimedia Computing -Digital Animation Technology,academic,
aade9018-f605-4b19-ad7f-5590c07733cd,BS in Business Administration,academic,
ab7bb484-d310-4196-80e5-de0cad6f7f1b,BA in Communication,academic,
c26b9e8e-1eb5-40b6-a4a6-430d0982f20c,BS in Industrial Technology - Electrical Technology,academic,
cd7971eb-035a-4604-8652-773e50880b52,BS in Environmental Science,academic,
dd875471-b923-428f-b242-f0e14e07d868,BS in Industrial Technology - Electronics Technology,academic,
e6a3f7f8-25a9-4ab8-b89f-d8c173ea3dc7,BS in Computer Engineering,Academic,2026-01-02 06:26:49.141234+00
e7ea6798-743a-447e-8331-a19fdeea27f4,BS in Electrical Engineering,Academic,2026-01-02 12:21:44.456677+00
eaf89803-ed21-402c-b1d0-8a889c290c8c,BS in Criminology,academic,
f0419dcc-5403-4f71-ab21-bf080905f022,BS in Tourism Management,academic,
f45424cd-ebb8-490a-9352-bb0c7146f07e,Associate in Computer Technology,academic,
f7e58518-b0b9-4214-8be9-f17fc441def0,Bachelor of Elementary Education,academic,
fb0b2abe-3f96-48b4-b3fc-db26dde01a16,Bachelor of Secondary Education - Filipino,academic,
